Title,Authors,Publication Year,Journal,PMID,PMCID,DOI,Link,Associated Data,Associated Data Repository(-ies)
Benchmark datasets for 3D MALDI- and DESI-imaging mass spectrometry,"Janina Oetjen, Kirill Veselkov, Jeramie Watrous, James S McKenzie, Michael Becker, Lena Hauberg-Lotte, Jan Hendrik Kobarg, Nicole Strittmatter, Anna K Mr—z, Franziska Hoffmann, Dennis Trede, Andrew Palmer, Stefan Schiffler, Klaus Steinhorst, Michaela Aichler, Robert Goldin, Orlando Guntinas-Lichius, Ferdinand von Eggeling, Herbert Thiele, Kathrin Maedler, Axel Walch, Peter Maass, Pieter C Dorrestein, Zoltan Takats & Theodore Alexandrov",2015,GigaScience,25941567,PMC4418095,10.1186/s13742-015-0059-4,https://gigascience.biomedcentral.com/articles/10.1186/s13742-015-0059-4,MTBLS282,MetaboLights
Benchmark datasets for 3D MALDI- and DESI-imaging mass spectrometry,"Janina Oetjen, Kirill Veselkov, Jeramie Watrous, James S McKenzie, Michael Becker, Lena Hauberg-Lotte, Jan Hendrik Kobarg, Nicole Strittmatter, Anna K Mr—z, Franziska Hoffmann, Dennis Trede, Andrew Palmer, Stefan Schiffler, Klaus Steinhorst, Michaela Aichler, Robert Goldin, Orlando Guntinas-Lichius, Ferdinand von Eggeling, Herbert Thiele, Kathrin Maedler, Axel Walch, Peter Maass, Pieter C Dorrestein, Zoltan Takats & Theodore Alexandrov",2015,GigaScience,25941567,PMC4418095,10.1186/s13742-015-0059-4,https://gigascience.biomedcentral.com/articles/10.1186/s13742-015-0059-4,MTBLS415,MetaboLights
Biodiversity in marine invertebrate responses to acute warming revealed by a comparative multi-omics approach,"Melody S. Clark, Ulf Sommer, Jaspreet K. Sihra, Michael A. S. Thorne, Simon A. Morley, Michelle King, Mark R. Viant & Lloyd S. Peck",2016,Global Change Biology,27312151,NA,10.1111/gcb.13357,http://onlinelibrary.wiley.com/doi/10.1111/gcb.13357/abstract,MTBLS336,MetaboLights
Caspase-11 Requires the Pannexin-1 Channel and the Purinergic P2X7 Pore to Mediate Pyroptosis and Endotoxic Shock,"Dahai Yang, Yuan He, Raul Mu–oz-Planillo, Qin Liu & Gabriel Nœ–ez",2015,Immunity,26572062,PMC4795157,10.1016/j.immuni.2015.10.009,http://www.sciencedirect.com/science/article/pii/S1074761315004094,ST000174,Metabolomics Workbench
Dynamics and Establishment of Clostridium difficile Infection in the Murine Gastrointestinal Tract,"Mark J. Koenigsknecht, Casey M. Theriot, Ingrid L. Bergin, Cassie A. Schumacher, Patrick D. Schloss & Vincent B. Young",2014,Infection and Immunity,25534943,PMC4333439,10.1128/IAI.02768-14,http://iai.asm.org/content/83/3/934.long,ST000196,Metabolomics Workbench
Dynamics and Establishment of Clostridium difficile Infection in the Murine Gastrointestinal Tract,"Mark J. Koenigsknecht, Casey M. Theriot, Ingrid L. Bergin, Cassie A. Schumacher, Patrick D. Schloss & Vincent B. Young",2014,Infection and Immunity,25534943,PMC4333439,10.1128/IAI.02768-14,http://iai.asm.org/content/83/3/934.long,ST000212,Metabolomics Workbench
Monounsaturated fatty acids in serum triacylglycerols are associated with response to neoadjuvant chemotherapy in breast cancer patients,"Mika Hilvo, Stephan Gade, Tuulia Hy_tyl_inen, Valentina Nekljudova, Tuulikki Sepp_nen-Laakso, Marko Sysi-Aho, Michael Untch, Jens Huober, Gunter von Minckwitz, Carsten Denkert, Matej Ore_i_ & Sibylle Loibl",2013,International Journal of Cancer,24114462,NA,10.1002/ijc.28491,http://onlinelibrary.wiley.com/doi/10.1002/ijc.28491/abstract,MTBLS92,MetaboLights
Piriformospora indica Stimulates Root Metabolism of Arabidopsis thaliana,"Nadine Strehmel, Susann M_nchgesang, Siska Herklotz, Sylvia KrŸger, J_rg Ziegler & Dierk Scheel",2016,International Journal of Molecular Sciences,27399695,PMC4964467,10.3390/ijms17071091,http://www.mdpi.com/1422-0067/17/7/1091,MTBLS341,MetaboLights
Plant-to-Plant Variability in Root Metabolite Profiles of 19 Arabidopsis thaliana Accessions Is Substance-Class-Dependent,"Susann M_nchgesang, Nadine Strehmel, Diana Trutschel, Lore Westphal, Steffen Neumann & Dierk Scheel",2016,International Journal of Molecular Sciences,27649165,PMC5037833,10.3390/ijms17091565,http://www.mdpi.com/1422-0067/17/9/1565,MTBLS338,MetaboLights
Evidence of a DHA Signature in the Lipidome and Metabolome of Human Hepatocytes.,"Veronica Ghini, Mattia Di Nunzio, Leonardo Tenori, Veronica Valli, Francesca Danesi, Francesco Capozzi, Claudio Luchinat & Alessandra Bordoni",2017,International Journal of Molecular Sciences,28208746,PMC5343894,10.3390/ijms18020359,http://www.mdpi.com/1422-0067/18/2/359,MTBLS419,MetaboLights
Development and Validation of a Liquid Chromatography-Electrospray Ionization-Time-of-Flight Mass Spectrometry Method for Induced Changes in Nicotiana attenuata Leaves during Simulated Herbivory,"Emmanuel Gaquerel, Sven Heiling, Matthias Schoettner, Gabriela Zurek & Ian T. Baldwin",2010,Journal of Agricultural and Food Chemistry,20701244,NA,10.1021/jf1017737,http://pubs.acs.org/doi/abs/10.1021/jf1017737,MTBLS10,MetaboLights
"The Dermal Layer of Sweet Sorghum (Sorghum bicolor) Stalk, a Byproduct of Biofuel Production and Source of Unique 3-Deoxyanthocyanidins, Has More Antiproliferative and Proapoptotic Activity than the Pith in p53 Variants of HCT116 and Colon Cancer Stem Cells","Aaron R. Massey, Lavanya Reddivari & Jairam Vanamala",2014,Journal of Agricultural and Food Chemistry,24655033,NA,10.1021/jf405415u,http://pubs.acs.org/doi/abs/10.1021/jf405415u,MTBLS69,MetaboLights
Impact of a Transposon Insertion in phzF2 on the Specialized Metabolite Production and Interkingdom Interactions of Pseudomonas aeruginosa,"Vanessa V. Phelan, Wilna J. Moree, Julieta Aguilar, Dale S. Cornett, Alexandra Koumoutsi, Suzanne M. Noble, Kit Pogliano, Carlos A. Guerrero & Pieter C. Dorrestein",2014,Journal of Bacteriology,24532776,PMC3993319,10.1128/JB.01258-13,http://jb.asm.org/content/196/9/1683.abstract,MSV000078628,GNPS
Urine Metabolomics in Hemorrhagic Shock: Normalization of Urine in the Face of Changing Intravascular Fluid Volume and Perturbations in Metabolism,"Elizabeth R. Lusczek, Teresa Nelson, Daniel Lexcen, Nancy E. Witowski, Kristine E. Mulier & Greg Beilman",2011,Journal of Bioanalysis & Biomedicine,NA,NA,10.4172/1948-593x.1000041,https://www.omicsonline.org/urine-metabolomics-in-hemorrhagic-shock-normalization-of-urine-in-the-face-of-changing-intravascular-fluid-volume-and-perturbations-in-metabolism-1948-593X.1000041.php?aid=283,MTBLS123,MetaboLights
"The Interplay of Proton, Electron, and Metabolite Supply for Photosynthetic H2 Production in Chlamydomonas reinhardtii","Anja Doebbe, Matthias Keck, Marco La Russa, Jan H. Mussgnug, Ben Hankamer, Ercan Tekçe, Karsten Niehaus & Olaf Kruse",2010,Journal of Biological Chemistry,20581114,PMC2943295,10.1074/jbc.m110.122812,http://www.jbc.org/content/285/39/30247,MTBLS37,MetaboLights
Nephron Toxicity Profiling via Untargeted Metabolome Analysis Employing a High-Performance Liquid Chromatography-Mass Spectrometry-Based Experimental and Computational Pipeline,"Christina Ranninger, Marc Rurik, Alice Limonciel, Silke Ruzek, Roland Reischl, Anja Wilmes, Paul Jennings, Philip Hewitt, Wolfgang Dekant, Oliver Kohlbacher & Christian G. Huber",2015,Journal of Biological Chemistry,26055719,PMC4521035,10.1074/jbc.m115.644146,http://www.jbc.org/content/early/2015/06/08/jbc.M115.644146,MTBLS140,MetaboLights
ATP-binding Cassette Sub-family C Member 5 (ABCC5) Functions as an Efflux Transporter of Glutamate Conjugates and Analogs,"Robert S. Jansen, Sunny Mahakena, Marcel de Haas, Piet Borst & Koen van de Wetering",2015,Journal of Biological Chemistry,26515061,PMC4683265,10.1074/jbc.m115.692103,http://www.jbc.org/content/early/2015/10/29/jbc.M115.692103,MTBLS197,MetaboLights
Differences in Hematopoietic Stem Cells Contribute to Sexually Dimorphic Inflammatory Responses to High Fat Diet-induced Obesity,"Kanakadurga Singer, Nidhi Maley, Taleen Mergian, Jennifer DelProposto, Kae Won Cho, Brian F. Zamarron, Gabriel Martinez-Santibanez, Lynn Geletka, Lindsey Muir, Phillip Wachowiak, Chaghig Demirjian & Carey N. Lumeng",2015,Journal of Biological Chemistry,25869128,PMC4505578,10.1074/jbc.M114.634568,http://www.jbc.org/cgi/pmidlookup?view=long&pmid=25869128,ST000201,Metabolomics Workbench
Differences in Hematopoietic Stem Cells Contribute to Sexually Dimorphic Inflammatory Responses to High Fat Diet-induced Obesity,"Kanakadurga Singer, Nidhi Maley, Taleen Mergian, Jennifer DelProposto, Kae Won Cho, Brian F. Zamarron, Gabriel Martinez-Santibanez, Lynn Geletka, Lindsey Muir, Phillip Wachowiak, Chaghig Demirjian & Carey N. Lumeng",2015,Journal of Biological Chemistry,25869128,PMC4505578,10.1074/jbc.M114.634568,http://www.jbc.org/cgi/pmidlookup?view=long&pmid=25869128,ST000182,Metabolomics Workbench
The metabolome of Chlamydomonas reinhardtii following induction of anaerobic H2 production by sulfur depletion.,"Timmins Matthew, Wenxu Zhou, Jens Rupprecht, Lysha Lim, Skye R. Thomas-Hall, Anja Doebbe, Olaf Kruse, Ben Hankamer, Ute C. Marx, Steven M. Smith & Peer M. Schenk",2009,Journal of Biological Chemistry,19478077,PMC2749115,10.1074/jbc.M109.003541,http://www.jbc.org/content/284/35/23415.long,MEX22,MetaPhen
Growth control of the eukaryote cell: a systems biology study in yeast,"Juan I Castrillo, Leo A Zeef, David C Hoyle, Nianshu Zhang, Andrew Hayes, David CJ Gardner, Michael J Cornell, June Petty, Luke Hakes, Leanne Wardleworth, Bharat Rash, Marie Brown, Warwick B Dunn, David Broadhurst, Kerry O'Donoghue, Svenja S Hester, Tom PJ Dunkley, Sarah R Hart, Neil Swainston, Peter Li, Simon J Gaskell, Norman W Paton, Kathryn S Lilley, Douglas B Kell & Stephen G Oliver",2007,Journal of Biology,17439666,PMC2373899,10.1186/jbiol54,https://jbiol.biomedcentral.com/articles/10.1186/jbiol54,MTBLS8,MetaboLights
Imaging mass spectrometry of a coral microbe interaction with fungi.,"Wilna J. Moree, Jane Y. Yang, Xiling Zhao, Wei-Ting Liu, Marystella Aparicio, Librada Atencio, Javier Ballesteros, Joel S‡nchez, Ronnie G. Gavil‡n, Marcelino Guti_rrez & Pieter C. Dorrestein",2013,Journal of Chemical Ecology,23881443,PMC3839821,10.1007/s10886-013-0320-1,https://link.springer.com/article/10.1007%2Fs10886-013-0320-1,MSV000078709,GNPS
A benchmark spike-in data set for biomarker identification in metabolomics,"Pietro Franceschi, Domenico Masuero, Urska Vrhovsek, Fulvio Mattivi & Ron Wehrens",2012,Journal of Chemometrics,NA,NA,10.1002/cem.1420,http://onlinelibrary.wiley.com/doi/10.1002/cem.1420/abstract,MTBLS59,MetaboLights
Application of a metabolomic method combining one-dimensional and two-dimensional gas chromatography-time-of-flight/mass spectrometry to metabolic phenotyping of natural variants in rice.,"Miyako Kusano, Atsushi Fukushima, Makoto Kobayashi, Naomi Hayashi, P_r Jonsson, Thomas Moritz, Kaworu Ebana & Kazuki Saito",2007,Journal of Chromatography B,17556050,NA,10.1016/j.jchromb.2007.05.002,http://www.sciencedirect.com/science/article/pii/S1570023207003479?via%3Dihub,MTBLS40,MetaboLights
Time-course metabolic profiling in Arabidopsis thaliana cell cultures after salt stress treatment,"Jae Kwang Kim, Takeshi Bamba, Kazuo Harada, Eiichiro Fukusaki & Akio Kobayashi",2006,Journal of Experimental Botany,17118972,NA,10.1093/jxb/erl216,https://academic.oup.com/jxb/article/58/3/415/556150/Time-course-metabolic-profiling-in-Arabidopsis,MEX72,MetaPhen
Effects of molybdenum deficiency and defects in molybdate transporter MOT1 on transcript accumulation and nitrogen/sulphur metabolism in Arabidopsis thaliana,"Yoko Ide, Miyako Kusano, Akira Oikawa, Atsushi Fukushima, Hajime Tomatsu, Kazuki Saito, Masami Yokota Hirai & Toru Fujiwara",2010,Journal of Experimental Botany,21131548,NA,10.1093/jxb/erq345,https://academic.oup.com/jxb/article/62/4/1483/462116/Effects-of-molybdenum-deficiency-and-defects-in,MEX53,MetaPhen
Deciphering genetic diversity and inheritance of tomato fruit weight and composition through a systems biology approach,"Laura Pascual, Jiaxin Xu, Beno”t Biais, Micka‘l Maucourt, Patricia Ballias, St_phane Bernillon, Catherine Deborde, Daniel Jacob, Aurore Desgroux, Mireille Faurobert, Jean-Paul Bouchet, Yves Gibon, Annick Moing & Mathilde Causse",2013,Journal of Experimental Botany,24151307,PMC3871826,10.1093/jxb/ert349,https://academic.oup.com/jxb/article-lookup/doi/10.1093/jxb/ert349,T10001,MeRy-B
Metabolomic profiling in tomato reveals diel compositional changes in fruit affected by sourceäóñsink relationships,"Camille B_nard, St_phane Bernillon, Beno”t Biais, Sonia Osorio, Micka‘l Maucourt, Patricia Ballias, Catherine Deborde, Sophie Colombi_, C_cile Cabasson, Daniel Jacob Gilles Vercambre, H_lène Gautier, Dominique Rolin, Michel G_nard, Alisdair R. Fernie, Yves Gibon & Annick Moing",2015,Journal of Experimental Botany,25873655,PMC4449552,10.1093/jxb/erv151,https://academic.oup.com/jxb/article-lookup/doi/10.1093/jxb/erv151,"Tomato Leaf/Fruit Diel cycle, Ctl vs Shade - FRIM ",MeRy-B
Lipidomic analysis of lipid droplets from murine hepatocytes reveals distinct signatures for nutritional stress,"Chandramohan Chitraju, Martin Tr_tzmŸller, JŸrgen Hartler, Heimo Wolinski, Gerhard G. Thallinger, Achim Lass, Rudolf Zechner, Robert Zimmermann, Harald C. K_feler & Friedrich Spener",2012,Journal of Lipid Research,22872753,PMC3435547,10.1194/jlr.m028902,http://www.jlr.org/content/53/10/2141.abstract,MTBLS26,MetaboLights
The impact of genetic stress by ATGL deficiency on the lipidome of lipid droplets from murine hepatocytes,"Chandramohan Chitraju, Martin Tr_tzmŸller, JŸrgen Hartler, Heimo Wolinski, Gerhard G. Thallinger, Guenter Haemmerle, Rudolf Zechner, Robert Zimmermann, Harald C. K_feler & Friedrich Spener",2013,Journal of Lipid Research,23740967,PMC3708368,10.1194/jlr.m037952,http://www.jlr.org/content/54/8/2185.long,MTBLS81,MetaboLights
"Viequeamide A, a cytotoxic member of the kulolide superfamily of cyclic depsipeptides from a marine button cyanobacterium","Paul D. Boudreau, Tara Byrum, Wei-Ting Liu, Pieter C. Dorrestein & William H. Gerwick",2012,Journal of Natural Products,22924493,PMC3521035,10.1021/np300321b,http://pubs.acs.org/doi/abs/10.1021/np300321b,MSV000078594,GNPS
Molecular networking as a dereplication strategy.,"Jane Y. Yang, Laura M. Sanchez, Christopher M. Rath, Xueting Liu, Paul D. Boudreau, Nicole Bruns, Evgenia Glukhov, Anne Wodtke, Rafael de Felicio, Amanda Fenner, Weng Ruh Wong, Roger G. Linington, Lixin Zhang, Hosana M. Debonsi, William H. Gerwick & Pieter C. Dorrestein",2013,Journal of Natural Products,24025162,PMC3936340,10.1021/np400413s,http://pubs.acs.org/doi/abs/10.1021/np400413s,MSV000078548,GNPS
Molecular networking as a dereplication strategy.,"Jane Y. Yang, Laura M. Sanchez, Christopher M. Rath, Xueting Liu, Paul D. Boudreau, Nicole Bruns, Evgenia Glukhov, Anne Wodtke, Rafael de Felicio, Amanda Fenner, Weng Ruh Wong, Roger G. Linington, Lixin Zhang, Hosana M. Debonsi, William H. Gerwick & Pieter C. Dorrestein",2013,Journal of Natural Products,24025162,PMC3936340,10.1021/np400413s,http://pubs.acs.org/doi/abs/10.1021/np400413s,MSV000078547,GNPS
Altered fecal short chain fatty acid composition in children with a history of Hirschsprung-associated enterocolitis,"Farokh R. Demehri, Philip K. Frykman, Zhi Cheng, Chunhai Ruan, Tomas Wester, Agneta Nordenskj_ld, Akemi Kawaguchi, Thomas T. Hui, Anna L. Granstr_m, Vince Funari & Daniel H. Teitelbaum for theHAEC Collaborative Research Group (HCRG)",2016,Journal of Pediatric Surgery,26561246,NA,10.1016/j.jpedsurg.2015.10.012,http://www.sciencedirect.com/science/article/pii/S0022346815006211,ST000189,Metabolomics Workbench
NMR-based metabonomics and correlation analysis reveal potential biomarkers associated with chronic atrophic gastritis.,"Jiajia Cui, Yuetao Liu, Yinghuan Hu, Jiayu Tong, Aiping Li, Tingli Qu, Xuemei Qina & Guanhua Du",2017,Journal of Pharmaceutical and Biomedical Analysis,27697573,NA,10.1016/j.jpba.2016.09.044,http://www.sciencedirect.com/science/article/pii/S0731708516307324?via%3Dihub,MTBLS340,MetaboLights
A serum nuclear magnetic resonance-based metabolomic signature of antiphospholipid syndrome.,"Angelica Palisi, Manuela Grimaldi, Paola Sabatini, Paola Montoro, Mario Scrima, Manuela Rodriquez & Anna Maria DÕUrsi",2017,Journal of Pharmaceutical and Biomedical Analysis,27829500,NA,10.1016/j.jpba.2016.11.002,http://www.sciencedirect.com/science/article/pii/S0731708516310184?via%3Dihub,MTBLS356,MetaboLights
Metal ion-inducing metabolite accumulation in Brassica rapa.,"Muhammad Jahangir, Ibrahim Bayoumi, Abdel-Farid Young Hae Choi & Robert Verpoorte",2008,Journal of Plant Physiology,18541336,NA,10.1016/j.jplph.2008.04.011,http://www.sciencedirect.com/science/article/pii/S0176161708001326?via%3Dihub,MEX65,MetaPhen
Enhanced polyamine accumulation alters carotenoid metabolism at the transcriptional level in tomato fruit over-expressing spermidine synthase,"Mohamed Hichem Neily, Chiaki Matsukura, Micka‘l Maucourt, St_phane Bernillon, Catherine Deborde, Annick Moing, Yong-Gen Yin, Takeshi Saito, Kentaro Mori, Erika Asamizu, Dominique Rolin, Takaya Moriguchi & Hiroshi Ezura",2011,Journal of Plant Physiology,20708298,NA,10.1016/j.jplph.2010.07.003,http://www.sciencedirect.com/science/article/pii/S0176161710003275,T08001,MeRy-B
Comprehensive Metabolic Profiling of Age-Related Mitochondrial Dysfunction in the High-Fat-Fed ob/ob Mouse Heart,"Xinzhu Wang, James A. West, Andrew J. Murray & Julian L. Griffin",2015,Journal of Proteome Research,25985803,NA,10.1021/acs.jproteome.5b00128,http://pubs.acs.org/doi/abs/10.1021/acs.jproteome.5b00128,MTBLS173,MetaboLights
"Analysis of the Human Adult Urinary Metabolome Variations with Age, Body Mass Index, and Gender by Implementing a Comprehensive Workflow for Univariate and OPLS Statistical Analyses","Etienne A. Th_venot, Aur_lie Roux, Ying Xu, Eric Ezan & Christophe Junot",2015,Journal of Proteome Research,26088811,NA,10.1021/acs.jproteome.5b00354,http://pubs.acs.org/doi/abs/10.1021/acs.jproteome.5b00354,MTBLS404,MetaboLights
Global Metabonomic and Proteomic Analysis of Human Conjunctival Epithelial Cells (IOBA-NHC) in Response to Hyperosmotic Stress,"Liyan Chen, Jing Li, Tiannan Guo, Sujoy Ghosh, Siew Kwan Koh, Dechao Tian, Liang Zhang, Deyong Jia, Roger W. Beuerman, Ruedi Aebersol, Eric Chun Yong Chan & Lei Zhou",2015,Journal of Proteome Research,26260330,NA,10.1021/acs.jproteome.5b00443,http://pubs.acs.org/doi/abs/10.1021/acs.jproteome.5b00443,MTBLS214,MetaboLights
The Cardiovascular Risk of Healthy Individuals Studied by NMR Metabonomics of Plasma Samples,"Patrizia Bernini, Ivano Bertini, Claudio Luchinat, Leonardo Tenori & Adriana Tognaccini",2011,Journal of Proteome Research,21902250,NA,10.1021/pr200452j,http://pubs.acs.org/doi/abs/10.1021/pr200452j,MTBLS46,MetaboLights
LCäóñMS Based Serum Metabolomics for Identification of Hepatocellular Carcinoma Biomarkers in Egyptian Cohort,"Jun Feng Xiao, Rency S. Varghese, Bin Zhou, Mohammad R. Nezami Ranjbar, Yi Zhao, Tsung-Heng Tsai, Cristina Di Poto, Jinlian Wang, David Goerlitz, Yue Luo, Amrita K. Cheema, Naglaa Sarhan, Hanan Soliman, Mahlet G. Tadesse, Dina Hazem Ziada, and Habtom W. Ressom",2012,Journal of Proteome Research,23078175,PMC3719870,10.1021/pr300673x,http://pubs.acs.org/doi/abs/10.1021/pr300673x,MTBLS19,MetaboLights
Pregnancy-Induced Metabolic Phenotype Variations in Maternal Plasma,"Hemi Luan, Nan Meng, Ping Liu, Qiang Feng, Shuhai Lin, Jin Fu, Robert Davidson, Xiaomin Chen, Weiqiao Rao, Fang Chen, Hui Jiang, Xun Xu, Zongwei Cai & Jun Wang",2014,Journal of Proteome Research,24450375,NA,10.1021/pr401068k,http://pubs.acs.org/doi/abs/10.1021/pr401068k,MTBLS146,MetaboLights
Probabilistic Networks of Blood Metabolites in Healthy Subjects As Indicators of Latent Cardiovascular Risk,"Edoardo Saccenti, Maria Suarez-Diez, Claudio Luchinat, Claudio Santucci & Leonardo Tenori",2015,Journal of Proteome Research,25428344,NA,10.1021/pr501075r,http://pubs.acs.org/doi/abs/10.1021/pr501075r,MTBLS147,MetaboLights
Comparison of Two Different Astragali Radix by a 1H NMR-Based Metabolomic Approach,"Ai-Ping Li, Zhen-Yu Li, Hai-Feng Sun, Ke Li, Xue-Mei Qin & Guan-Hua Du",2015,Journal of Proteome Research,25844502,NA,10.1021/pr501167u,http://pubs.acs.org/doi/abs/10.1021/pr501167u,MTBLS189,MetaboLights
A Combined Metabolomic and Proteomic Investigation of the Effects of a Failure to Express Dystrophin in the Mouse Heart,"Melanie K. Gulston, Denis V. Rubtsov, Helen J. Atherton, Kieran Clarke, Kay E. Davies, Kathryn S. Lilley & Julian L. Griffin",2008,Journal of Proteome Research,18386883,NA,10.1021/pr800070p,http://pubs.acs.org/doi/abs/10.1021/pr800070p,MTBLS256,MetaboLights
Metabolomics Analysis of Hormone-Responsive and Triple-Negative Breast Cancer Cell Responses to Paclitaxel Identify Key Metabolic Differences,"Delisha A. Stewart, Jason H. Winnike, Susan L. McRitchie, Robert F. Clark, Wimal W. Pathmasiri & Susan J. Sumner",2016,Journal of Proteome Research,27447733,PMC5034715,10.1021/acs.jproteome.6b00430,http://pubs.acs.org/doi/abs/10.1021/acs.jproteome.6b00430,ST000442,Metabolomics Workbench
Untargeted LC-MS metabolomics of bronchoalveolar lavage fluid differentiates acute respiratory distress syndrome from health.,"Charles R. Evans, Alla Karnovsky, Melissa A. Kovach, Theodore J. Standiford, Charles F. Burant & Kathleen A. Stringer",2014,Journal of Proteome Research,24289193,PMC4068805,10.1021/pr4007624,http://pubs.acs.org/doi/ipdf/10.1021/pr4007624,ST000042,Metabolomics Workbench
"Discovery and Characterization of Bicereucin, an Unusual d-Amino Acid-Containing Mixed Two-Component Lantibiotic",Liujie Huo & Wilfred A. van der Donk,2016,Journal of the American Chemical Society,27074593,PMC4851115,10.1021/jacs.6b02513,http://pubs.acs.org/doi/abs/10.1021/jacs.6b02513,MSV000079622,GNPS
1D-Œ_H-nuclear magnetic resonance metabolomics reveals age-related changes in metabolites associated with experimental venous thrombosis.,"Andrea T. Obi, Kathleen A. Stringer, Jose A. Diaz, Michael A. Finkel, Diana M. Farris, Larisa Yeomans, Thomas Wakefield & Daniel D. Myers Jr.",2016,Journal of Vascular Surgery: Venous and Lymphatic Disorders,26993871,NA,10.1016/j.jvsv.2015.09.010,http://www.sciencedirect.com/science/article/pii/S2213333X15001869?via%3Dihub,ST000607,Metabolomics Workbench
Dissolved organic matter produced by Thalassiosira pseudonana,"Krista Longnecker, Melissa C. Kido Soule & Elizabeth B. Kujawinski",2015,Marine Chemistry,NA,NA,10.1016/j.marchem.2014.11.003,http://www.sciencedirect.com/science/article/pii/S0304420314002175,MTBLS144,MetaboLights
Interspecies Interactions Stimulate Diversification of the Streptomyces coelicolor Secreted Metabolome,"Matthew F. Traxler, Jeramie D. Watrous, Theodore Alexandrov, Pieter C. Dorrestein & Roberto Kolter",2013,mBio,23963177,PMC3747584,10.1128/mBio.00459-13,http://mbio.asm.org/content/4/4/e00459-13,MSV000078617,GNPS
Collagen Induced Arthritis in DBA/1J Mice Associates with Oxylipin Changes in Plasma,"Min He, Eduard van Wijk, Ruud Berger, Mei Wang, Katrin Strassburg, Johannes C. Schoeman, Rob J. Vreeken, Herman van Wietmarschen, Amy C. Harms, Masaki Kobayashi, Thomas Hankemeier & Jan van der Greef",2015,Mediators of Inflammation,26604432,PMC4641941,10.1155/2015/543541,https://www.hindawi.com/journals/mi/2015/543541/,MTBLS243,MetaboLights
Metabolic fingerprinting of different populations of Phyllanthus niruri L. from Punjab using electrospray ionization mass spectrometry (ESI-MS),Baljinder Kaur & Navneet Kaur,2016,Medicinal Chemistry Research,NA,NA,10.1007/s00044-016-1674-z,https://link.springer.com/article/10.1007/s00044-016-1674-z,MTBLS224,MetaboLights
Metabolomic Analysis of Fission Yeast at the Onset of Nitrogen Starvation,"Kenichi Sajiki, Tom‡_ Pluskal, Mizuki Shimanuki & Mitsuhiro Yanagida",2013,Metabolites,24958269,PMC3937841,10.3390/metabo3041118,http://www.mdpi.com/2218-1989/3/4/1118,MTBLS67,MetaboLights
Metabolomic Profiling of Submaximal Exercise at a Standardised Relative Intensity in Healthy Adults,"Ali Muhsen Ali, Mia Burleigh, Evangelia Daskalaki, Tong Zhang, Chris Easton & David G. Watson",2016,Metabolites,26927198,PMC4812338,10.3390/metabo6010009,http://www.mdpi.com/2218-1989/6/1/9,MTBLS291,MetaboLights
Metabolomic Profiling of Submaximal Exercise at a Standardised Relative Intensity in Healthy Adults,"Ali Muhsen Ali, Mia Burleigh, Evangelia Daskalaki, Tong Zhang, Chris Easton & David G. Watson",2016,Metabolites,26927198,PMC4812338,10.3390/metabo6010009,http://www.mdpi.com/2218-1989/6/1/9,MTBLS306,MetaboLights
"Prediction, Detection, and Validation of Isotope Clusters in Mass Spectrometry Data",Hendrik Treutler & Steffen Neumann,2016,Metabolites,27775610,PMC5192443,10.3390/metabo6040037,http://www.mdpi.com/2218-1989/6/4/37,MTBLS381,MetaboLights
Systemic Metabolomic Changes in Blood Samples of Lung Cancer Patients Identified by Gas Chromatography Time-of-Flight Mass Spectrometry,"Suzanne Miyamoto, Sandra L. Taylor, Dinesh K. Barupal, Ayumu Taguchi, Gert Wohlgemuth, William R. Wikoff, Ken Y. Yoneda, David R. Gandara, Samir M. Hanash, Kyoungmi Kim & Oliver Fiehn",2015,Metabolites,25859693,PMC4495369,10.3390/metabo5020192,http://www.mdpi.com/2218-1989/5/2/192,ST000392,Metabolomics Workbench
Using Molecular Networking for Microbial Secondary Metabolite Bioprospecting,"Kevin Purves, Lynsey Macintyre, Debra Brennan, Gu_mundur î. Hreggvi_sson, Eva Kuttner, Margr_t E. çsgeirsd—ttir, Louise C. Young, David H. Green, Ruangelie Edrada-Ebel & Katherine R. Duncan",2016,Metabolites,26761036,PMC4812331,10.3390/metabo6010002,http://www.mdpi.com/2218-1989/6/1/2,MSV000079481,GNPS
Quantitative metabolic profiles of tomato flesh and seeds during fruit development: complementary analysis with ANN and PCA,"Fabien Mounet, Martine Lemaire-Chamley, Micka‘l Maucourt, C_cile Cabasson, Jean-Luc Giraudel, Catherine Deborde, Ren_ Lessire, Philippe Gallusci, Anne Bertrand, Monique Gaudillère, Christophe Rothan, Dominique Rolin & Annick Moing",2007,Metabolomics,NA,NA,10.1007/s11306-007-0059-1,https://link.springer.com/article/10.1007/s11306-007-0059-1,MTBLS56,MetaboLights
Novel aspects of grape berry ripening and post-harvest withering revealed by untargeted LC-ESI-MS metabolomics analysis,"Ketti Toffali, Anita Zamboni, Andrea Anesi, Matteo Stocchero, Mario Pezzotti, Marisa Levi & Flavia Guzzo",2011,Metabolomics,NA,NA,10.1007/s11306-010-0259-y,https://link.springer.com/article/10.1007%2Fs11306-010-0259-y,MTBLS39,MetaboLights
